Iteration,Mon,Tues,Wed,Thurs,Fri,Mon,Tues,Wed,Thurs,Fri,,,,,,,
1,42,45,51,40,53,48,43,42,40,50,,,,,,,
2,33,44,48,55,44,47,49,42,46,51,,,,,,,
3,47,40,44,54,49,38,44,47,53,52,,,,,,,
4,45,38,43,40,50,41,46,47,40,44,,,,,,,
5,54,55,44,47,49,49,47,55,45,49,,,,,,,
6,45,49,57,46,63,39,44,42,54,57,,,,,,,
7,38,40,47,48,65,42,46,51,49,60,,,,,,,
8,36,45,54,54,52,41,37,49,53,54,,,,,,,
9,43,48,46,46,53,34,52,49,56,48,,,,,,,
10,41,43,41,48,41,45,43,43,57,58,,,,,,,
11,42,42,36,53,52,39,51,42,48,45,,,,,,,
12,29,40,50,37,54,43,37,48,45,45,,,,,,,
13,37,37,44,44,46,43,35,46,39,46,,,,,,,
14,35,43,40,43,45,40,34,40,36,40,,,,,,,
15,35,44,35,42,45,36,40,34,37,41,,,,,,,
16,39,48,37,38,50,39,36,43,40,38,,,,,,,
17,47,34,44,44,42,42,50,34,40,48,,,,,,,
18,45,44,39,32,41,36,30,36,35,46,,,,,,,
19,30,42,38,43,50,37,51,38,33,44,,,,,,,
20,34,45,34,36,49,44,48,40,42,46,,,,,,,
21,37,41,39,44,43,43,44,45,44,48,,,,,,,
22,44,50,51,40,44,41,41,45,39,55,,,,,,,
23,31,44,39,42,47,43,40,47,40,54,,,,,,,
24,43,44,41,51,44,45,43,48,40,54,,,,,,,
25,40,52,46,44,44,40,41,46,43,51,,,,,,,
26,42,47,54,46,55,43,42,44,43,43,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,
Groups,Count,Sum,Average,Variance,Range,,,,,,,,,,,,
Row 1,10,454,45.4,22.71111111,13,,,,,,,,,,,,
Row 2,10,459,45.9,34.76666667,22,,,,,,,,,,,,
Row 3,10,468,46.8,29.06666667,16,,,,,,,,,,,,
Row 4,10,434,43.4,13.82222222,12,,,,,,,,,,,,
Row 5,10,494,49.4,16.04444444,11,,,,,,,,,,,,
Row 6,10,496,49.6,60.48888889,24,,,,,,,,,,,,
Row 7,10,486,48.6,71.6,27,,,,,,,,,,,,
Row 8,10,475,47.5,52.27777778,18,,,,,,,,,,,,
Row 9,10,475,47.5,36.94444444,24,,,,,,,,,,,,
Row 10,10,460,46,41.33333333,18,,,,,,,,,,,,
Row 11,10,450,45,33.55555556,17,,,,,,,,,,,,
Row 12,10,428,42.8,53.28888889,25,,,,,,,,,,,,
Row 13,10,417,41.7,18.23333333,11,,,,,,,,,,,,
Row 14,10,396,39.6,13.15555556,11,,,,,,,,,,,,
Row 15,10,389,38.9,16.1,16,,,,,,,,,,,,
Row 16,10,408,40.8,22.4,15,,,,,,,,,,,,
Row 17,10,425,42.5,29.16666667,16,,,,,,,,,,,,
Row 18,10,384,38.4,30.48888889,21,,,,,,,,,,,,
Row 19,10,406,40.6,45.82222222,15,,,,,,,,,,,,
Row 20,10,418,41.8,31.28888889,10,,,,,,,,,,,,
Row 21,10,428,42.8,9.733333333,10,,,,,,,,,,,,
Row 22,10,450,45,28.44444444,12,,,,,,,,,,,,
Row 23,10,427,42.7,36.9,20,,,,,,,,,,,,
Row 24,10,453,45.3,19.56666667,11,,,,,,,,,,,,
Row 25,10,447,44.7,17.56666667,12,,,,,,,,,,,,
Row 26,10,459,45.9,23.21111111,13,,,,,,,,,,,,
,,,44.17692308,31.07606838,16.15384615,,,,,,,,,,,,
ANOVA,,,,,,,,,,,,,,,,,
Source of Variation,SS,df,MS,F,P-value,F crit,,,,,,,,,,,
Between Groups,2464.061538,25,98.56246154,3.171651586,2.27656E-06,1.553208414,,,,,,,,,,,
Within Groups,7271.8,234,31.07606838,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total,9735.861538,259,,,,,,,,,,,,,,,
